ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"131.106.216.130","anonymous","AS6079","US","RCN","116","RCN Corporation","8080","http","1359","800","2022-11-21T14:08:40.540Z","100","340","340"
"24.116.218.195","anonymous","AS11492","US","CABLE ONE, INC.","169","Sparklight","8080","http","1215","800","2022-11-21T14:04:29.859Z","98","332","340"
"191.242.230.135","anonymous","AS263485","BR","Domi Informatica","202","Domi Informatica","8080","http","1055","800","2022-11-21T14:09:22.229Z","100","338","338"
"150.230.247.180","anonymous","AS31898","SA","Oracle Corporation","83","Oracle Cloud Infrastructure (me-jeddah-1)","3128","http","1255","799","2022-11-21T14:03:56.838Z","99","338","340"
"173.212.200.30","anonymous","AS51167","DE","Contabo GmbH","15","Contabo GmbH","3128","http","1138","799","2022-11-21T14:02:21.875Z","99","337","340"
"182.253.6.236","anonymous","AS17451","ID","Biznet Networks","180","Loka Mampang Indah Realty","8080","http","893","799","2022-11-21T14:09:27.646Z","99","331","334"
"173.219.112.85","anonymous","AS19108","US","Suddenlink Communications","161","unused","8080","http","1180","798","2022-11-21T14:04:41.469Z","100","456","456"
"5.196.127.12","elite","AS16276","FR","OVH SAS","5","GUYONVARHO Michel","80","http","1256","798","2022-11-21T14:08:34.976Z","100","398","398"
"94.198.215.22","elite","AS49979","IT","La Wireless","48","N/A","8080","http","1226","798","2022-11-21T14:08:10.714Z","97","349","361"
"185.54.152.29","anonymous","AS202074","IT","Link Main","46","N/A","8080","http","1287","798","2022-11-21T14:06:28.370Z","100","341","341"
"23.82.16.149","anonymous","AS7203","US","Leaseweb USA, Inc.","140","Leaseweb USA, Inc.","3128","http","1351","798","2022-11-21T14:08:34.952Z","100","339","340"
"50.201.51.216","anonymous","AS7922","US","Comcast Cable Communications, LLC","94","Comcast Cable Communications, LLC","8080","http","1264","798","2022-11-21T14:04:10.035Z","100","340","340"
"82.209.219.61","elite","AS6697","BY","Republican Unitary Telecommunication Enterprise Beltelecom","67","Byfly Grodno Ethernet","2222","http","1261","798","2022-11-21T14:07:53.841Z","40","135","338"
"38.10.69.109","anonymous","AS208972","TR","Gibirnet Iletisim Hizmetleri Sanayi VE Ticaret Limited Sirketi","79","Gibirnet Iletisim Hizmetleri Sanayi VE Ticaret Limited Sirketi","9090","http","1267","798","2022-11-21T14:06:28.370Z","97","329","339"
"203.253.142.180","anonymous","AS1237","KR","KISTI","220","KREONet","8080","http","1196","798","2022-11-21T14:06:27.982Z","100","338","338"
"131.0.226.198","elite","AS52965","BR","1telecom Servicos De Tecnologia EM Internet Ltda","214","Cooperativa Do Agronegocio Dos Associados","9898","http","1270","798","2022-11-21T14:07:45.068Z","99","334","337"
"176.214.97.55","anonymous","AS21353","RU","Enforta-MSK","58","N/A","1256","http","1248","797","2022-11-21T14:02:15.384Z","100","359","359"
"80.244.231.133","anonymous","AS21353","RU","Enforta-MSK","50","ArtCommunications Ltd.","8080","http","1205","797","2022-11-21T14:02:57.530Z","99","338","340"
"82.114.118.142","anonymous","AS21353","RU","ArtCommunications Ltd.","52","ArtCommunications Ltd.","1256","http","1206","797","2022-11-21T14:08:20.237Z","100","337","337"
"188.121.122.12","anonymous","AS202468","IR","Noyan Abr Arvan Co. ( Private Joint Stock)","82","Noyan Abr Arvan Co. ( Private Joint Stock)","3128","http","1198","797","2022-11-21T14:08:42.530Z","89","298","333"
"190.121.207.58","anonymous","AS272818","GT","CENTRAL DE REDES Y COMUNICACIONES DE GUATEMALA, SOCIEDAD ANONIMA","135","CENTRAL DE REDES Y COMUNICACIONES DE GUATEMALA, SOCIEDAD ANONIMA","999","http","1276","796","2022-11-21T14:06:23.244Z","100","338","339"
"186.211.177.161","anonymous","AS14840","BR","BR Digital","197","TESSI - Serviços de Telecomunicação Ltda","8082","http","1160","796","2022-11-21T14:08:42.530Z","100","339","339"
"194.5.205.157","anonymous","AS60631","IR","Pars Parva System LLC","76","ParsPack","3128","http","1342","796","2022-11-21T14:03:45.010Z","100","335","335"
"24.51.32.59","anonymous","AS13807","US","Great Plains Communications LLC","120","Great Plains Communications LLC","8080","http","1333","796","2022-11-21T14:03:45.010Z","100","334","335"
"154.113.32.17","anonymous","AS37282","NG","Mainone Cable Company","137","Mainone Cable Company","8080","http","1305","795","2022-11-21T14:03:45.010Z","100","361","361"
"103.105.212.106","elite","AS137239","PH","Fil Products Service Television Incorporated","245","Fpsti LL","53281","http","1289","794","2022-11-21T14:02:22.252Z","95","327","344"
"103.197.251.202","elite","AS64043","BD","EUROtelbd Online Ltd.","224","S.M. ZAKIR HOSSAIN t/a EUROtelbd Online Ltd.","80","http","1266","794","2022-11-21T14:03:26.844Z","98","335","341"
"190.90.102.35","anonymous","AS262589","CO","Internexa S.a. E.S.P","162","COMPAÑIA INTEGRAL DE RECURSOS EN TELECOMUNICACIONES SAS - CIRTEL","8080","http","1235","794","2022-11-21T14:02:25.665Z","99","339","341"
"5.56.133.132","elite","AS50673","AE","Serverius","12","Kako Host Communications Inc.","3128","http","1317","794","2022-11-21T14:05:24.270Z","89","302","340"
"31.13.33.10","anonymous","AS8732","RU","OJSC Comcor","60","Comcor","8080","http","1298","794","2022-11-21T14:07:02.980Z","100","339","339"
"213.171.63.210","anonymous","AS8732","RU","OJSC Comcor","71","Comcor","41890","http","1239","794","2022-11-21T14:06:18.537Z","99","335","338"
"160.3.168.70","anonymous","AS11492","US","CABLE ONE, INC.","125","Sparklight","8080","http","1212","794","2022-11-21T14:06:02.159Z","100","337","337"
"177.87.168.101","elite","AS52583","BR","Asstelecom telecomunicação Ltda me","188","Asstelecom telecomunicação Ltda me","53281","http","1224","794","2022-11-21T14:06:05.478Z","99","332","335"
"47.74.226.8","elite","AS45102","SG","Alibaba Cloud (Singapore) Private Limited","313","Alibaba.com LLC","5001","http","1094","794","2022-11-21T14:07:11.338Z","99","332","334"
"194.5.195.10","anonymous","AS60631","IR","Pars Parva System LLC","83","ParsPack","3128","http","1279","794","2022-11-21T14:03:25.584Z","97","324","333"
"121.101.132.6","anonymous","AS131706","ID","TERABIT","202","N/A","8080","http","1240","793","2022-11-21T14:04:20.094Z","97","371","381"
"106.60.70.243","elite","AS134766","CN","CHINANET Yunnan province IDC2 network","279","Chinanet YN","80","http","1141","793","2022-11-21T14:02:55.989Z","93","317","340"
"179.1.110.43","anonymous","AS262589","CO","InterNexa Global Network","169","Internexa S.a. E.S.P","999","http","1204","793","2022-11-21T14:04:48.747Z","100","339","340"
"144.217.7.157","elite","AS16276","CA","OVH SAS","91","OVH Hosting, Inc.","9300","http","1232","793","2022-11-21T14:04:37.691Z","98","331","338"
"159.203.31.27","elite","AS14061","CA","DigitalOcean, LLC","95","Digital Ocean","8118","http","1249","793","2022-11-21T14:06:18.536Z","100","337","337"
"46.209.196.146","anonymous","AS42337","IR","Respina Networks & Beyond PJSC","79","Respina","8080","http","1261","793","2022-11-21T14:03:04.449Z","100","335","335"
"190.214.27.46","anonymous","AS28006","EC","Corporacion Nacional De Telecomunicaciones - CNT EP","188","Corporacion Nacional De Telecomunicaciones - CNT EP","8080","http","1169","792","2022-11-21T14:03:03.316Z","99","452","455"
"211.234.125.5","anonymous","AS3786","KR","KIDC","280","URISYSTEM","443","http","1262","792","2022-11-21T14:07:02.980Z","96","416","435"
"36.93.133.170","anonymous","AS7713","ID","Telekomunikasi Indonesia","168","HSI Indihome","8080","http","1213","792","2022-11-21T14:04:38.754Z","97","332","341"
"103.137.110.153","anonymous","AS138829","ID","PT. Capoeng Digital Nusantara","174","N/A","99","http","1413","792","2022-11-21T14:06:40.302Z","96","327","339"
"203.142.71.51","anonymous","AS38482","ID","BIZNET","182","N/A","8080","http","1225","792","2022-11-21T14:02:47.505Z","100","333","334"
"190.61.60.118","anonymous","AS52468","PA","Ufinet Panama S.A","148","Ufinet Colombia","999","http","1235","792","2022-11-21T14:09:10.188Z","99","330","334"
"198.24.187.91","elite","AS19437","US","Secured Servers LLC","83","Secured Servers LLC","8080","http","1388","791","2022-11-21T14:03:45.821Z","100","434","434"
"201.220.102.146","anonymous","AS14117","CL","Telefonica del Sur S.A.","222","Telefonica del Sur S.A","8080","http","1261","791","2022-11-21T14:04:43.040Z","95","372","392"
"86.110.27.165","anonymous","AS8905","RU","Digit One LLC","45","Digit1 Arctel","3128","http","1433","791","2022-11-21T14:01:58.801Z","97","347","357"
